iter	RMSE
0	106183.0126
1	101373.5442
2	96976.423
3	92865.63622
4	88960.40485
5	85242.92339
6	81896.37185
7	78716.59207
8	75850.21627
9	73196.30533
10	70632.1043
11	68337.25659
12	66106.26453
13	64073.60909
14	62171.79783
15	60351.99677
16	58787.10102
17	57169.15241
18	55696.9383
19	54314.30203
20	53039.45529
21	51887.49602
22	50698.4096
23	49633.34794
24	48648.80614
25	47688.14107
26	46933.55683
27	46141.26727
28	45270.92803
29	44550.026
30	43810.88021
31	43177.4907
32	42610.20447
33	42086.00279
34	41532.19727
35	40987.46188
36	40565.41768
37	40089.12683
38	39715.11563
39	39302.15687
40	38882.17174
41	38366.59286
42	38022.60726
43	37587.79178
44	37158.18624
45	36837.72117
46	36529.0944
47	36193.26805
48	35744.51837
49	35452.18101
50	35181.51882
51	34958.19866
52	34676.49122
53	34451.83536
54	34247.81919
55	34057.38822
56	33840.9883
57	33595.26214
58	33444.11633
59	33240.82665
60	33088.42859
61	32810.70458
62	32650.52154
63	32487.89768
64	32253.81165
65	32096.44664
66	31964.07478
67	31822.10273
68	31667.23764
69	31519.82741
70	31397.96833
71	31283.29816
72	31157.60148
73	31044.24675
74	30900.96067
75	30778.20251
76	30692.07561
77	30547.85838
78	30472.06156
79	30300.57855
80	30230.03717
81	30128.03207
82	30031.9978
83	29937.55393
84	29851.46694
85	29782.18856
86	29706.22469
87	29582.45031
88	29504.26595
89	29261.00669
90	29185.82581
91	28981.19292
92	28911.54686
93	28834.37057
94	28774.59443
95	28698.02861
96	28616.72418
97	28539.16596
98	28487.87811
99	28399.86703
100	28326.10173
101	28264.91048
102	28128.58473
103	28067.84713
104	28023.01192
105	27973.38315
106	27912.66832
107	27857.36619
108	27665.03694
109	27627.56937
110	27589.07116
111	27551.98158
112	27509.24257
113	27446.10553
114	27403.72463
115	27355.55862
116	27314.961
117	27235.45853
118	27183.7011
119	27145.52791
120	26939.05013
121	26793.49809
122	26741.43681
123	26611.13234
124	26452.29669
125	26391.30861
126	26346.5995
127	26239.06818
128	26210.38774
129	26169.96655
130	26108.40115
131	26067.34957
132	26037.15122
133	26005.08497
134	25980.1486
135	25952.28179
136	25914.47645
137	25883.46756
138	25831.15418
139	25733.72799
140	25720.02991
141	25622.11594
142	25604.37006
143	25568.48229
144	25519.26448
145	25488.53107
146	25432.49438
147	25399.28769
148	25353.50834
149	25306.73518
150	25283.13888
151	25249.4234
152	25201.2454
153	25169.40236
154	25134.3374
155	25095.65462
156	25057.68409
157	25020.16964
158	24987.71617
159	24967.16214
160	24942.50421
161	24901.88939
162	24870.10991
163	24760.13863
164	24730.01265
165	24690.90691
166	24585.62441
167	24560.36677
168	24542.5679
169	24516.24912
170	24490.15991
171	24476.93234
172	24448.05348
173	24401.82687
174	24378.67717
175	24356.97122
176	24331.70245
177	24297.89616
178	24268.18431
179	24245.50169
180	24223.49812
