iter	Passed	Remaining
0	5	5266
1	10	5201
2	15	5059
3	20	4981
4	24	4966
5	29	4932
6	34	4889
7	39	4883
8	44	4858
9	48	4841
10	53	4832
11	58	4822
12	63	4812
13	69	4887
14	75	4954
15	80	4953
16	85	4945
17	90	4931
18	95	4914
19	100	4919
20	105	4913
21	110	4893
22	114	4884
23	119	4878
24	124	4873
25	129	4866
26	134	4855
27	139	4845
28	145	4862
29	150	4851
30	154	4841
31	159	4833
32	164	4827
33	169	4816
34	174	4815
35	179	4805
36	184	4794
37	189	4793
38	193	4777
39	198	4766
40	203	4755
41	208	4749
42	212	4738
43	218	4739
44	223	4753
45	228	4740
46	233	4729
47	238	4727
48	243	4718
49	247	4709
50	252	4698
51	257	4688
52	261	4679
53	266	4670
54	271	4662
55	276	4656
56	281	4656
57	286	4648
58	290	4639
59	295	4627
60	299	4616
61	304	4606
62	309	4602
63	313	4591
64	318	4587
65	323	4582
66	328	4576
67	333	4564
68	337	4556
69	342	4547
70	346	4538
71	351	4529
72	356	4522
73	360	4515
74	365	4503
75	369	4494
76	374	4485
77	379	4480
78	384	4478
79	388	4472
80	393	4461
81	398	4461
82	403	4453
83	407	4444
84	412	4436
85	416	4427
86	420	4417
87	425	4411
88	430	4405
89	435	4401
90	440	4396
91	445	4400
92	450	4393
93	455	4386
94	459	4379
95	464	4370
96	468	4363
97	473	4357
98	478	4351
99	483	4348
100	487	4342
101	492	4336
102	497	4332
103	502	4326
104	509	4343
105	515	4348
106	520	4345
107	525	4339
108	530	4334
109	535	4329
110	539	4323
111	544	4315
112	549	4310
113	553	4304
114	558	4299
115	563	4293
116	567	4285
117	572	4277
118	576	4270
119	581	4265
120	586	4263
121	591	4259
122	596	4254
123	601	4250
124	606	4247
125	611	4241
126	616	4235
127	620	4230
128	625	4224
129	629	4215
130	634	4210
131	639	4203
132	643	4196
133	648	4188
134	652	4181
135	657	4174
136	661	4167
137	666	4160
138	670	4153
139	675	4149
140	680	4143
141	685	4140
142	689	4134
143	694	4127
144	699	4125
145	704	4118
146	708	4112
147	713	4108
148	718	4102
149	722	4096
150	727	4089
151	731	4083
152	736	4077
153	741	4072
154	745	4066
155	750	4059
156	754	4052
157	759	4047
158	763	4040
159	768	4034
160	772	4027
161	777	4021
162	782	4017
163	787	4014
164	791	4007
165	796	4001
166	801	3996
167	805	3989
168	809	3982
169	814	3976
170	819	3970
171	823	3963
172	827	3957
173	832	3951
174	836	3944
175	841	3939
176	845	3932
177	850	3926
178	855	3922
179	859	3915
180	864	3910
181	868	3904
182	873	3898
183	878	3894
184	883	3890
185	887	3884
186	892	3879
187	897	3875
188	902	3871
189	907	3867
190	911	3861
191	916	3856
192	920	3850
193	925	3843
194	929	3838
195	934	3833
196	939	3828
197	943	3823
198	948	3818
199	953	3815
200	958	3811
201	963	3805
202	968	3801
203	972	3796
204	977	3790
205	982	3785
206	986	3779
207	991	3775
208	996	3770
209	1000	3764
210	1005	3759
211	1009	3753
212	1014	3747
213	1018	3742
214	1023	3737
215	1028	3732
216	1033	3728
217	1038	3723
218	1042	3719
219	1047	3714
220	1052	3710
221	1057	3705
222	1062	3700
223	1066	3695
224	1071	3690
225	1076	3686
226	1081	3681
227	1085	3676
228	1090	3671
229	1095	3666
230	1099	3661
231	1105	3659
232	1110	3654
233	1114	3649
234	1119	3644
235	1124	3640
236	1129	3636
237	1134	3632
238	1139	3628
239	1144	3623
240	1148	3618
241	1153	3613
242	1158	3609
243	1163	3605
244	1168	3600
245	1173	3595
246	1177	3590
247	1182	3587
248	1187	3582
249	1192	3577
250	1197	3572
251	1201	3567
252	1207	3563
253	1211	3559
254	1216	3554
255	1221	3549
256	1226	3545
257	1231	3540
258	1235	3535
259	1242	3537
260	1247	3533
261	1252	3528
262	1258	3525
263	1262	3520
264	1267	3516
265	1273	3513
266	1278	3508
267	1282	3503
268	1287	3498
269	1292	3493
270	1296	3488
271	1301	3483
272	1306	3478
273	1311	3473
274	1315	3468
275	1320	3464
276	1326	3461
277	1331	3458
278	1337	3455
279	1342	3451
280	1347	3447
281	1352	3444
282	1357	3440
283	1363	3437
284	1369	3436
285	1375	3432
286	1379	3428
287	1385	3425
288	1390	3421
289	1396	3420
290	1403	3419
291	1408	3414
292	1413	3410
293	1419	3408
294	1424	3404
295	1429	3399
296	1435	3397
297	1440	3393
298	1445	3389
299	1452	3388
300	1457	3384
301	1462	3379
302	1468	3378
303	1473	3373
304	1478	3370
305	1484	3367
306	1489	3362
307	1494	3358
308	1500	3356
309	1506	3352
310	1511	3348
311	1516	3345
312	1522	3340
313	1527	3336
314	1532	3333
315	1537	3328
316	1542	3324
317	1549	3323
318	1554	3318
319	1560	3315
320	1568	3318
321	1574	3315
322	1584	3321
323	1589	3316
324	1597	3317
325	1602	3313
326	1607	3309
327	1616	3311
328	1621	3307
329	1628	3306
330	1633	3302
331	1639	3298
332	1644	3294
333	1649	3289
334	1654	3285
335	1660	3281
336	1665	3277
337	1670	3272
338	1676	3269
339	1681	3264
340	1686	3258
341	1692	3255
342	1697	3251
343	1702	3246
344	1707	3242
345	1712	3237
346	1717	3232
347	1723	3228
348	1727	3223
349	1732	3218
350	1737	3213
351	1742	3208
352	1747	3202
353	1752	3197
354	1756	3191
355	1760	3185
356	1765	3180
357	1770	3174
358	1775	3169
359	1779	3163
360	1784	3158
361	1789	3153
362	1794	3148
363	1799	3144
364	1805	3140
365	1810	3135
366	1815	3131
367	1820	3126
368	1825	3121
369	1830	3116
370	1836	3113
371	1841	3108
372	1846	3104
373	1852	3100
374	1857	3096
375	1862	3091
376	1868	3087
377	1873	3082
378	1879	3078
379	1885	3075
380	1890	3071
381	1895	3066
382	1901	3062
383	1906	3057
384	1911	3053
385	1916	3048
386	1921	3044
387	1927	3039
388	1932	3035
389	1937	3030
390	1942	3026
391	1949	3023
392	1954	3019
393	1959	3014
394	1966	3011
395	1971	3007
396	1976	3001
397	1983	3000
398	1988	2995
399	1994	2991
400	1999	2986
401	2004	2981
402	2009	2976
403	2015	2973
404	2020	2967
405	2024	2962
406	2031	2959
407	2035	2953
408	2040	2948
409	2046	2945
410	2051	2939
411	2056	2934
412	2062	2931
413	2067	2925
414	2072	2920
415	2077	2916
416	2082	2910
417	2086	2905
418	2091	2900
419	2096	2895
420	2101	2890
421	2106	2885
422	2111	2880
423	2116	2875
424	2121	2870
425	2126	2865
426	2131	2860
427	2136	2854
428	2142	2851
429	2147	2846
430	2152	2841
431	2157	2837
432	2163	2832
433	2168	2827
434	2173	2822
435	2178	2817
436	2183	2812
437	2189	2809
438	2194	2804
439	2199	2799
440	2205	2795
441	2210	2790
442	2215	2786
443	2221	2782
444	2226	2777
445	2232	2772
446	2236	2767
447	2241	2761
448	2246	2756
449	2250	2751
450	2255	2745
451	2259	2739
452	2264	2734
453	2268	2728
454	2273	2723
455	2278	2717
456	2283	2712
457	2287	2707
458	2292	2702
459	2297	2696
460	2302	2691
461	2306	2686
462	2312	2681
463	2316	2676
464	2321	2670
465	2325	2665
466	2330	2659
467	2336	2656
468	2342	2652
469	2347	2646
470	2351	2641
471	2356	2635
472	2361	2631
473	2366	2625
474	2371	2621
475	2377	2617
476	2382	2612
477	2387	2607
478	2392	2601
479	2396	2596
480	2401	2591
481	2406	2585
482	2410	2580
483	2415	2574
484	2419	2569
485	2424	2563
486	2428	2558
487	2433	2552
488	2438	2548
489	2442	2542
490	2447	2537
491	2452	2531
492	2456	2526
493	2461	2520
494	2465	2515
495	2471	2511
496	2477	2507
497	2485	2505
498	2490	2500
499	2496	2496
500	2501	2491
501	2506	2486
502	2511	2481
503	2516	2476
504	2521	2471
505	2526	2466
506	2530	2460
507	2535	2455
508	2539	2450
509	2544	2444
510	2549	2439
511	2554	2434
512	2558	2429
513	2563	2423
514	2567	2418
515	2572	2412
516	2577	2407
517	2583	2403
518	2589	2400
519	2594	2394
520	2599	2390
521	2604	2384
522	2608	2379
523	2613	2374
524	2618	2369
525	2624	2364
526	2629	2359
527	2634	2354
528	2639	2349
529	2644	2344
530	2650	2340
531	2655	2336
532	2660	2330
533	2667	2327
534	2673	2323
535	2678	2319
536	2684	2314
537	2689	2309
538	2695	2305
539	2700	2300
540	2705	2295
541	2710	2290
542	2716	2285
543	2721	2281
544	2726	2276
545	2732	2271
546	2737	2266
547	2743	2263
548	2748	2258
549	2754	2253
550	2759	2248
551	2764	2243
552	2769	2238
553	2774	2233
554	2780	2229
555	2785	2224
556	2790	2219
557	2795	2214
558	2801	2209
559	2806	2205
560	2811	2200
561	2816	2195
562	2822	2190
563	2827	2186
564	2833	2181
565	2838	2176
566	2843	2171
567	2848	2166
568	2853	2161
569	2859	2156
570	2863	2151
571	2868	2146
572	2875	2142
573	2879	2137
574	2884	2131
575	2889	2127
576	2894	2122
577	2899	2116
578	2904	2112
579	2909	2106
580	2914	2101
581	2919	2096
582	2923	2091
583	2928	2086
584	2933	2081
585	2939	2076
586	2944	2071
587	2949	2066
588	2954	2061
589	2958	2056
590	2963	2050
591	2968	2045
592	2972	2040
593	2977	2035
594	2982	2030
595	2987	2024
596	2991	2019
